Model,Horizon,Train_Accuracy,Test_Accuracy,Precision,Recall,F1_Score,AUC,CV_Accuracy_Mean,CV_Accuracy_Std
Logistic Regression,return_direction_1d,0.5967,0.5959,0.5861953834550734,0.5959,0.584396862079414,0.6400216264023447,0.5974999999999999,0.002311655251113361
Random Forest,return_direction_1d,0.868025,0.8498,0.8545947481771211,0.8498,0.8471742714105481,0.9391826172431197,0.8449,0.005547183970268139
AdaBoost,return_direction_1d,0.664525,0.6633,0.6693150583693789,0.6633,0.6388966189980759,0.701421014532602,0.6659499999999999,0.0022811729439040805
SVM,return_direction_1d,0.681175,0.6773,0.6737721906307769,0.6773,0.672839640581951,0.738307459063024,0.668675,0.001548386256720182
Neural Network,return_direction_1d,0.8687,0.839,0.8395976733403524,0.839,0.8375427606220622,0.92371071356326,0.823775,0.007766675608006296
Decision Tree,return_direction_1d,0.810475,0.7975,0.7993186353610052,0.7975,0.7941851430386129,0.8902433281223098,0.7917500000000001,0.014529926014952718
Logistic Regression,return_direction_3d,0.56425,0.5576,0.558035992677264,0.5576,0.5573484432019404,0.5772021615829974,0.5623,0.0033387872049593227
Random Forest,return_direction_3d,0.89015,0.8687,0.8738808601260036,0.8687,0.8683276073891688,0.9522485806845893,0.8661,0.005269843451185245
AdaBoost,return_direction_3d,0.62385,0.6317,0.6328733761794608,0.6317,0.6304383529982451,0.6997811126591146,0.624375,0.004341658669218469
SVM,return_direction_3d,0.671925,0.6683,0.6684316716861854,0.6683,0.6682976548798508,0.733418704876763,0.659175,0.0039024031057798376
Neural Network,return_direction_3d,0.877125,0.8445,0.847688778047113,0.8445,0.8440551778133178,0.9307256789209893,0.835625,0.012209115447074783
Decision Tree,return_direction_3d,0.816775,0.8093,0.8186308658519048,0.8093,0.8080891137671248,0.9072404437656111,0.79465,0.014494697306256528
Logistic Regression,return_direction_7d,0.73825,0.7317,0.7376020773942696,0.7317,0.7343468039774046,0.8202140404936955,0.738425,0.0021731313812100752
Random Forest,return_direction_7d,0.9516,0.9402,0.9432222498841291,0.9402,0.9409564211836292,0.9843922228431438,0.936075,0.003311532877686731
AdaBoost,return_direction_7d,0.823975,0.8195,0.8181904973115397,0.8195,0.8187966175036813,0.9024432178189584,0.8222000000000002,0.004623040125285525
SVM,return_direction_7d,0.83765,0.8293,0.8388259348474172,0.8293,0.8325249171070868,0.9114226863019939,0.82725,0.006188194405478885
Neural Network,return_direction_7d,0.97045,0.9453,0.9452611267359918,0.9453,0.9452800111607811,0.9822296856630036,0.932075,0.006483922423965286
Decision Tree,return_direction_7d,0.9248,0.9162,0.9173799626297341,0.9162,0.9166624543455886,0.9724277609301291,0.904625,0.004554530711280825
