Model,Horizon,Train_MSE,Test_MSE,Train_MAE,Test_MAE,Train_R2,Test_R2,CV_R2_Mean,CV_R2_Std
Linear Regression,1_DAY_RETURN,0.0002615489952608012,0.0002609303663035957,0.01129626324306554,0.011302329816010072,0.023581197024601375,0.019423582534442985,0.02222749239659354,0.003014575438321034
Random Forest,1_DAY_RETURN,0.00010033262269895186,0.00010421692497424906,0.0063588505699861825,0.006484401111075377,0.6254366824945883,0.6083527556481354,0.5914431587193347,0.020423676236116926
AdaBoost,1_DAY_RETURN,0.00023206078050598563,0.0002310565135356493,0.010880648495570399,0.010852573590349189,0.1336670619084177,0.1316895327880171,0.13219439338153607,0.006422175487021262
SVM,1_DAY_RETURN,0.0001862600527485323,0.0001978446530686622,0.010007072064832558,0.010272302548691943,0.3046510556635529,0.2564997172653284,0.2394559373617513,0.006776755419598348
Neural Network,1_DAY_RETURN,0.00022820313542276768,0.00023031181850616868,0.010780031436929492,0.01084767333247488,0.1480684829144655,0.13448809699676423,0.14267824086179912,0.020835018955928788
Decision Tree,1_DAY_RETURN,0.00011346252315954495,0.00011935542870418965,0.0065545686984191005,0.006784023689890777,0.5764199325807344,0.5514622527772568,0.5172813155272322,0.026947968464993987
Linear Regression,3_DAY_RETURN,0.000804937915849688,0.0007970643078705334,0.021446816069301714,0.02141173783048426,0.06010934586675609,0.051857847653952405,0.05917005702720448,0.005323841765392473
Random Forest,3_DAY_RETURN,0.000251222940476064,0.00026680083244976595,0.01033714060738637,0.01060293740034745,0.7066580052846987,0.6826289760703634,0.6858239066332379,0.0074397768673505355
AdaBoost,3_DAY_RETURN,0.0006986762362139979,0.0006864520236153258,0.0201081747614502,0.020020604479630093,0.1841864425166998,0.1834359000570721,0.18325955600754856,0.006526073731572996
SVM,3_DAY_RETURN,0.0005294945423671864,0.0005582434154492902,0.015898279874766136,0.016302386416848235,0.38173247652256137,0.3359455338413274,0.31807907189723295,0.012406139221134748
Neural Network,3_DAY_RETURN,0.0006441154771084613,0.0006478520404347722,0.018560498099934163,0.018711120536545015,0.24789464479659507,0.22935223424986595,0.2230639514128189,0.014191050941631332
Decision Tree,3_DAY_RETURN,0.0003111297240300827,0.00032168613231022653,0.010921488370256575,0.011188514525797288,0.6367074850359797,0.6173405597807358,0.6058631654911287,0.014774622087946021
Linear Regression,7_DAY_RETURN,139389580908464.36,136705531450274.58,7087566.216581462,7087707.594753461,0.36856178717668453,0.3737831571284598,0.36784458252394886,0.0066276613727051965
Random Forest,7_DAY_RETURN,20706608310811.926,22318065748680.38,1732351.7309592026,1822269.5337551765,0.9061985575952218,0.8977660338695095,0.8921158704392397,0.005085503407033553
AdaBoost,7_DAY_RETURN,109177018539734.72,108185425461691.81,5853914.474967628,5847574.288940807,0.5054254341048685,0.5044272542696815,0.48295607554060105,0.021726453800658976
SVM,7_DAY_RETURN,283756815580038.2,281593632285901.2,7943473.36570561,7961218.365579797,-0.28542531901259305,-0.2899161688051233,-0.2856896916649158,0.006115231632175074
Neural Network,7_DAY_RETURN,131070388514324.45,128202355141813.38,6048116.288463428,6034385.80321394,0.40624793231933076,0.41273426734159346,0.39943796532121184,0.008617378767566538
Decision Tree,7_DAY_RETURN,24682527760232.465,26299612137578.223,1830207.9039697612,1924183.0516567314,0.8881875451859068,0.8795274784654137,0.8688227972123211,0.009181261000457628
